genus,p_value,rank_biserial,log2_fold_change,p_adjusted,significant
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__Flemingibacterium,0.11783387174572692,-0.17706821480406387,1.4259777022759976,0.9245742100295696,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__F0428,0.2856438242507229,-0.12119013062409278,0.2873402591414575,0.9631274116315901,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum,0.4948736316360679,-0.07764876632801165,0.10263647081658338,0.9655791160136714,False
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A,0.324254135975105,0.09034833091436867,-0.2616099213361049,0.9631274116315901,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755,0.6652910266410388,-0.04934687953555872,0.4017383479481254,0.9823494225683177,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus,0.867423982674095,-0.019230769230769162,-0.21320582400610646,0.9940416947398667,False
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Pararhizobium,0.7345006450313907,0.03555878084179975,-2.1244401394829096,0.9861181920538787,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-448,0.42115622021547794,-0.09143686502177073,0.0077652897460253195,0.9631274116315901,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA3700;g__MGBC100798,0.21211850306158908,-0.10087082728592156,2.0721528273743326,0.9578570186005568,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zunongwangia,0.4427351343462794,-0.06712626995645854,0.10198782494540101,0.9631274116315901,False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella,0.40293579231417687,-0.0950653120464442,1.6552495087810333,0.9631274116315901,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177,0.09373799225299669,-0.19013062409288817,3.3051384560539248,0.9245742100295696,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__RUG756,0.33128341934872674,-0.10595065312046437,0.06291372672544522,0.9631274116315901,False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Idiomarina,0.03000518499802774,-0.1915820029027575,1.454824876939519,0.923680856214202,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Sporobacter,0.8172087358552056,0.026124818577648812,0.24759451367859878,0.9923878677730211,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__UMGS1494,0.8596172822643284,0.020319303338171224,-0.9458816274874754,0.9940416947398667,False
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__Bacillaceae_C;g__Siminovitchia,0.09941139584602628,-0.1396952104499274,0.8174089687149295,0.9245742100295696,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UMGS1307,0.8622723037792159,0.019956458635703944,0.1718762511285302,0.9940416947398667,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UMGS1387,0.1810389373949718,0.15166908563134973,-0.6086943873060341,0.9382605408495559,False
d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum,0.8534747916757786,0.015239477503628418,-0.3229084577363169,0.9936956658403527,False
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus,0.9947801044160556,0.0010885341074020616,3.004287803719219,0.9999342540345002,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia,0.16722403353028092,-0.15674891146589265,0.6814443048488733,0.9245742100295696,False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax,0.03517968129635621,-0.2343976777939043,0.4789058139242572,0.923680856214202,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Pseudoramibacter,0.021344946552366913,-0.18577648766328014,1.321135583064853,0.923680856214202,False
