genus_full,genus_short,mean_abs_shap,mean_signed_shap,direction,mean_clr_cd,mean_clr_nonIBD
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum,g__Anaerotignum,0.37454612554253414,-6.365278674517564e-17,nonIBD,5.373905934500239,4.390277360837834
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia,g__Romboutsia,0.3662459223559129,-8.881784197001253e-18,nonIBD,1.1788842105830704,2.3294913987395587
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__Flemingibacterium,g__Flemingibacterium,0.3017611608541271,4.625929269271486e-19,CD,0.13786853942860283,1.6144028197944087
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,g__Bilophila,0.28576499308910214,1.4506914188435379e-16,CD,3.820317438812625,5.4800586400051206
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS902,g__UMGS902,0.19963106304673991,-2.7755575615628914e-19,nonIBD,0.7032687879226003,1.735669371294254
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A,g__Alistipes_A,0.19916147155304745,-7.531012850373979e-17,nonIBD,3.3718758445705133,4.580407163131697
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394,g__UBA1394,0.1954054942436563,2.0539125955565396e-17,CD,1.9596324057018022,3.0815845986461814
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Caccovicinus,g__Caccovicinus,0.1832380345702656,-1.96139401017111e-17,nonIBD,1.8658434025419448,1.2724421707079043
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1375,g__UMGS1375,0.16776424700632778,1.0732155904709846e-17,CD,2.6326437138732675,3.7820573534608197
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella,g__Granulicatella,0.16716253946048076,1.258252761241844e-17,CD,1.4174844197152217,0.5472398770786248
d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae;g__Turicibacter,g__Turicibacter,0.15208338171152577,-2.220446049250313e-18,nonIBD,0.4085980512088006,1.6324745499573592
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus,g__Ligilactobacillus,0.1485647398871026,-5.921189464667502e-18,nonIBD,0.3101225368258844,-0.33983462547819543
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,g__Alistipes,0.14268678293448864,-2.0354088784794535e-17,nonIBD,7.682395109677838,9.067408146122741
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter,g__Butyribacter,0.1347291556423718,3.3306690738754695e-18,CD,3.76133459129551,5.165446921616043
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UMGS416;g__Parachristensenella,g__Parachristensenella,0.1309600727189459,3.14563190310461e-18,CD,-0.33207271087127554,0.4500796271585943
